Product Name,Price,Product Link,Image Link
"vivo V30e 5G (8GB RAM, 256GB, Silk Blue)","₹27,999",https://www.croma.com/vivo-v30e-5g-8gb-ram-256gb-silk-blue-/p/306489,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1714730256/Croma%20Assets/Communication/Mobiles/Images/306489_0_h9xh9n.png?tr=w-400
"SAMSUNG Galaxy M14 (4GB RAM, 64GB, Sapphire Blue)","₹8,999",https://www.croma.com/samsung-galaxy-m14-4gb-ram-64gb-sapphire-blue-/p/305907,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717061549/Croma%20Assets/Communication/Mobiles/Images/305907_0_gnsffu.png?tr=w-400
"Redmi 12 5G (8GB RAM, 256GB, Moonstone Silver)","₹13,999",https://www.croma.com/redmi-12-5g-8gb-ram-256gb-moonstone-silver-/p/275652,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708664664/Croma%20Assets/Communication/Mobiles/Images/275652_0_gca8r2.png?tr=w-400
"NOKIA G21 (4GB RAM, 64GB, Dusk)","₹3,394",https://www.croma.com/nokia-g21-4gb-ram-64gb-dusk-/p/251586,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708664683/Croma%20Assets/Communication/Mobiles/Images/251586_0_x1cthd.png?tr=w-400
"SAMSUNG Galaxy S24 Plus 5G (12GB RAM, 256GB, Cobalt Violet)","₹99,999",https://www.croma.com/samsung-galaxy-s24-plus-5g-12gb-ram-256gb-cobalt-violet-/p/303862,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1705584798/Croma%20Assets/Communication/Mobiles/Images/303862_albfdi.png?tr=w-400
"SAMSUNG Galaxy S23 Ultra 5G (12GB RAM, 512GB, Cream)","₹1,04,994",https://www.croma.com/samsung-galaxy-s23-ultra-5g-12gb-ram-512gb-cream-/p/268886,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1715785342/Croma%20Assets/Communication/Mobiles/Images/268886_0_d7qopj.png?tr=w-400
"Google Pixel 9 Pro XL 5G (16GB RAM, 512GB, Obsidian)","₹1,39,999",https://www.croma.com/google-pixel-9-pro-xl-5g-16gb-ram-512gb-obsidian-/p/309160,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1723573859/Croma%20Assets/Communication/Mobiles/Images/309160_0_ccr72w.png?tr=w-400
"SAMSUNG Galaxy S23 5G (8GB RAM, 256GB, Green)","₹66,999",https://www.croma.com/samsung-galaxy-s23-5g-8gb-ram-256gb-green-/p/305167,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1715785413/Croma%20Assets/Communication/Mobiles/Images/305167_0_xhurdq.png?tr=w-400
"realme 11 (256GB ROM, 8 GB RAM, RMX3780,Glory Black)","₹16,994",https://www.croma.com/realme-11-256gb-rom-8-gb-ram-rmx3780-glory-black-/p/300095,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708667332/Croma%20Assets/Communication/Mobiles/Images/300095_0_uvbvra.png?tr=w-400
"Nothing Phone 2 5G (12GB RAM, 256GB, Dark Grey)","₹36,999",https://www.croma.com/nothing-phone-2-5g-12gb-ram-256gb-dark-grey-/p/301918,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1708679074/Croma%20Assets/Communication/Mobiles/Images/301918_0_f3f5jq.png?tr=w-400
